Date,AC.PA,ACA.PA,AI.PA,AIR.PA,ATO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,EI.PA,EN.PA,ENGI.PA,FP.PA,FR.PA,FTI.PA,GLE.PA,KER.PA,LHN.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,SOLB.BR,STM.PA,SU.PA,SW.PA,UG.PA,UL.AS,VIE.PA,VIV.PA
3/15/2010,-0.1268532467,-1.975308642,-0.598745444,-0.136286201,-0.9886186884,-0.6254998294,-1.438596491,-1.101662251,-0.321582792,-3.03030303,-0.2350129315,0.2050971503,-0.7312804148,-0.3192656857,-0.8196791377,-0.1609814316,,-2.540650464,0.02110571873,,-1.027253669,-0.8448142185,-1.654998658,-2.246438899,-0.6117025537,-0.9014084507,-0.1485638776,0.1669415637,-0.9734571697,1.064695547,0.9927779425,-1.708813464,-0.3394959707,-1.09790946,-1.650083167,0.7454212785,-1.486776812,-0.7304156416,0.2469218209,-1.105580584
3/16/2010,1.614742327,3.568429891,0.7955288419,-0.1023541453,2.598826426,0.4577706674,2.313990744,1.720251036,1.458832936,1.020408163,1.189637192,1.195734112,0.616123728,0.1245551601,0.6257473731,2.216036348,,2.07391964,0.5801634838,,0.360097437,1.237159197,1.414383988,2.708437726,0.2307988263,1.080164866,1.272931021,0.45,2.263932082,2.242025932,2.252007109,1.173147703,0.3679147053,1.809610706,1.380290338,0.7959731299,1.60249606,-0.06689364548,0.3078735506,1.170055602
3/17/2010,2.127059149,1.134981759,0.3381686472,-1.092896175,-2.146380425,-0.09113921374,0.4175382742,-0.3881341835,1.258116929,1.988642677,1.268764928,0.1809644415,1.025023934,-0.2310289675,0.4458476853,3.448875267,,2.156642501,0.4299989603,,1.392988544,-0.8531219934,0.8825777736,2.653016724,0.3070308381,0.2530933491,1.028406824,-0.6636817654,1.019510573,-0.2906103192,-1.62558996,2.612453126,0.8283540361,1.508588499,1.596246554,0.8341674637,0.456514031,0.1673360174,1.227755319,-0.02601912671
3/18/2010,-0.4655788256,-2.044088176,-1.269631237,1.38121547,0.05449591132,-0.5017035577,-0.9009008853,-0.7097161147,-0.3276870652,-1.578464774,-0.9425287356,-0.2975220487,-0.1976571353,-0.6056287852,-0.5723607055,-2.514765675,,-0.7666688889,0.4072681619,,-0.3122398002,1.372093023,-0.4724649859,-0.9497581662,0.7396938789,-0.9817727359,0.5493617709,0.1336261923,-0.692044406,1.298351812,0.4975160003,-0.5037359022,-0.7003132258,-1.206592113,-1.062844294,0.04411206512,-1.06897269,-0.2338730465,-0.5457893452,-0.8222059339
3/19/2010,-0.7877454338,2.004909984,-0.6828758093,1.021798365,1.511440591,-0.1145977512,0.2097884579,0.5185760482,-0.6027424658,-0.6289308176,-0.7890461824,0.8206287793,-1.967253815,0,-0.5169196307,-0.9575145427,,0.7725921123,-0.09360790237,,1.962835665,-0.6423457215,-0.7734812681,-2.169067756,-0.3671363557,-0.3682776204,0.4660131769,0.3336130053,-0.9146312693,-0.1831022757,0.01767857112,-1.600982441,-0.2711672565,-0.1042597557,0.08173750584,-0.4520353011,-0.2758647052,-0.7032839778,-0.3861829268,-0.4921649904
3/22/2010,-0.9552613847,-0.2005615724,1.06572654,1.146325017,0.7645848014,-0.183575026,-0.3140282624,0.09759899337,0.8269101661,-0.2215189873,0.1754409357,0.2959830929,1.319870707,-0.6630824373,0.1062777515,3.650314266,,1.47778,-1.103474934,,0.4095760635,0.2193431002,0.8858614693,-0.3534105821,0.2287166542,0.3696389178,-1.311580294,0.01662177833,-1.157509158,1.022012579,-0.4242496023,-0.4589097228,0.734372715,1.207693455,0.08166841675,0.02214863219,-0.2076305837,-0.3372681282,-0.6121159197,0.4682277847
3/23/2010,2.643160844,2.491961415,-0.136186903,-2.066666667,1.411072912,-0.3448321839,0.8750437675,-0.05571806658,0.8884553916,1.585784967,1.63456155,-0.8220910797,0.5184075226,0.1623669493,0.2477385985,0.9708737864,,1.083978954,1.06316,,1.59087096,0.8409204202,2.370877009,1.741208468,0.3803283613,0.2832917847,-0.1458670989,0.09973570479,1.111769938,-0.3890998703,-0.372808437,1.60659677,1.782110285,1.679434296,0.1981790673,0.2546805504,-0.2772033828,-1.725890355,4.085403408,0.311232771
3/24/2010,-0.5860172412,0.5882352941,-1.010311505,3.199455412,0.07875820425,-0.4036885999,0.3469830039,-0.7108041812,-1.151602795,0.7805183129,-0.5629017547,0.4357109551,-0.2909283181,-0.07204610951,-0.1294445691,2.017307692,,0.7365684575,-0.3228882341,,-1.22465765,-0.4912040154,-0.4287854882,1.22032565,-0.6314725941,-0.6214745412,0.2921603636,0.1660561248,-0.894299956,1.015619739,-0.3029187509,-2.337420468,0.3447915338,4.288611997,-0.4072111882,-0.6958206318,1.111895744,-0.2410406386,1.143980276,1.033333689
3/25/2010,0.6999111363,3.196881092,1.238629286,0.6926121372,-0.3279118659,0.7874927803,1.538727524,0.9966283267,-0.0685252193,2.881047266,0.7624815333,0.2856798162,0.6763952075,2.631575342,0.5655661467,2.032970628,,1.225806452,1.253923759,,-4.5935,0.4591906732,1.205942854,3.444562501,0.3177427555,1.222285389,3.026379673,2.320956565,5.118343347,2.913116783,0.6791796125,0.605380842,0.409858091,2.945262573,1.343460312,1.668334927,4.170747038,0.6558487819,1.365058556,1.53494051
3/26/2010,-0.06088692379,-1.624480544,-0.4079249486,0.3930560105,-2.829322354,0.1149029097,-0.01702537034,-0.9172981747,-0.4937594023,-0.1505570611,-0.298099053,-0.03165013783,-0.2107811771,-0.7024903654,0.1991775091,1.847490727,,0.1593371574,-0.3405593325,,0.4473881742,-0.3542509347,-1.481051617,-0.4691622842,-0.6588065374,-0.6458803707,0.534087339,0.4212556639,0.04221503074,-1.928847792,-1.082906051,0.02799328296,0,-0.9446693657,-0.6916403458,-0.6673230208,-0.660086142,0.3429355211,-1.058099269,0
